epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13990,0.68019,0.81796,1.32633,0.79526,0.87926,0.93559,0.84542,0.44493,0.57643,0.91184,0.000870958,0.000870958,0.000870958
43,14321.9,0.68926,0.81838,1.33709,0.90139,0.90164,0.94428,0.87545,0.39292,0.55996,0.8655,0.000851543,0.000851543,0.000851543
44,14653.8,0.68628,0.7898,1.33731,0.89662,0.89116,0.95618,0.8907,0.38072,0.51166,0.8421,0.000832127,0.000832127,0.000832127
45,14985.1,0.6844,0.80507,1.33484,0.89506,0.87705,0.96525,0.90476,0.38394,0.49431,0.84537,0.000812712,0.000812712,0.000812712
46,15330,0.68618,0.82925,1.3321,0.95509,0.90164,0.98384,0.90937,0.42533,0.45397,0.87006,0.000793296,0.000793296,0.000793296
47,15692.2,0.68799,0.81177,1.33006,0.93801,0.89086,0.97166,0.90427,0.40272,0.47398,0.86156,0.00077388,0.00077388,0.00077388
48,16085.9,0.67706,0.78887,1.31933,0.90046,0.89616,0.96878,0.89517,0.41029,0.48869,0.8699,0.000754465,0.000754465,0.000754465
49,16452.3,0.67821,0.78704,1.32377,0.93482,0.91803,0.97978,0.91791,0.3826,0.44618,0.86433,0.000735049,0.000735049,0.000735049
50,16812.2,0.64746,0.7514,1.29626,0.96656,0.88525,0.97899,0.91965,0.36319,0.43284,0.80825,0.000715633,0.000715633,0.000715633
51,17173,0.64849,0.75026,1.30691,0.90768,0.90984,0.97317,0.91028,0.36743,0.45659,0.84729,0.000696218,0.000696218,0.000696218
52,17531.6,0.62602,0.7429,1.28754,0.86202,0.97561,0.97501,0.90804,0.36808,0.42865,0.83405,0.000676802,0.000676802,0.000676802
53,17885.5,0.62301,0.73883,1.27497,0.92571,0.86296,0.97574,0.9201,0.35013,0.4836,0.82295,0.000657386,0.000657386,0.000657386
54,18239.1,0.62472,0.71386,1.28314,0.92266,0.93463,0.97816,0.91626,0.37087,0.42732,0.8256,0.000637971,0.000637971,0.000637971
55,18594.5,0.6428,0.73766,1.29185,0.94578,0.90263,0.97666,0.91663,0.36077,0.4118,0.81231,0.000618555,0.000618555,0.000618555
56,18937.2,0.63269,0.70627,1.29329,0.94067,0.87591,0.98372,0.93169,0.34279,0.45985,0.8106,0.000599139,0.000599139,0.000599139
57,19277.9,0.63217,0.72601,1.29808,0.94577,0.89897,0.98013,0.9367,0.32803,0.43644,0.79797,0.000579724,0.000579724,0.000579724
58,19616,0.61516,0.70465,1.27581,0.91356,0.95902,0.98557,0.93683,0.34698,0.40093,0.81649,0.000560308,0.000560308,0.000560308
59,19955.4,0.61207,0.6844,1.26543,0.92993,0.95342,0.97915,0.90581,0.38287,0.44638,0.84579,0.000540892,0.000540892,0.000540892
60,20294.6,0.6102,0.70802,1.26855,0.94003,0.90984,0.98436,0.9444,0.33274,0.41125,0.78937,0.000521477,0.000521477,0.000521477
61,20633.7,0.60307,0.71136,1.27181,0.96311,0.93586,0.98725,0.938,0.32985,0.35979,0.77455,0.000502061,0.000502061,0.000502061
62,20971.4,0.59828,0.69915,1.25862,0.91313,0.93327,0.97762,0.90881,0.37929,0.4282,0.8642,0.000482646,0.000482646,0.000482646
63,21308.6,0.61057,0.68607,1.26767,0.97459,0.86356,0.98874,0.94536,0.32856,0.43327,0.79337,0.00046323,0.00046323,0.00046323
64,21647.6,0.59568,0.68774,1.25064,0.91628,0.9445,0.98415,0.93261,0.34625,0.40694,0.80251,0.000443814,0.000443814,0.000443814
65,21988.5,0.59897,0.66715,1.24512,0.90773,0.93427,0.98094,0.9311,0.34611,0.38536,0.79526,0.000424399,0.000424399,0.000424399
66,22348.1,0.58436,0.65157,1.23777,0.9064,0.91287,0.98431,0.93488,0.33191,0.46734,0.79629,0.000404983,0.000404983,0.000404983
67,22703.2,0.57606,0.67087,1.2362,0.91687,0.97228,0.98768,0.94233,0.30733,0.36193,0.7786,0.000385567,0.000385567,0.000385567
68,23058,0.57959,0.65423,1.24582,0.93828,0.90937,0.97757,0.93518,0.31755,0.42674,0.77455,0.000366152,0.000366152,0.000366152
69,23404.5,0.58129,0.64072,1.2423,0.96595,0.9363,0.98852,0.95006,0.31867,0.34256,0.77613,0.000346736,0.000346736,0.000346736
70,23744.9,0.58839,0.64403,1.24344,0.95195,0.96446,0.98893,0.95099,0.30534,0.34027,0.77757,0.00032732,0.00032732,0.00032732
71,24097.1,0.55454,0.62844,1.22725,0.95716,0.96674,0.99001,0.94976,0.31933,0.34701,0.78254,0.000307905,0.000307905,0.000307905
72,24453.4,0.558,0.63087,1.22399,0.889,0.98019,0.98777,0.94755,0.30479,0.36769,0.76921,0.000288489,0.000288489,0.000288489
73,24806.3,0.5824,0.64937,1.2607,0.97273,0.9573,0.99001,0.95532,0.29466,0.33051,0.76243,0.000269073,0.000269073,0.000269073
